Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Hugo Duarte,M,Raw,26.5,24-34,Open,102.4,105,260,142.5,272.5,675,2,407.04,595.45,Yes,UK,BVDK,29/04/2017,Germany,LM Bayern KDK Aktive
Hugo Duarte,M,Raw,24,24-34,Open,104.9,105,255,147.5,280,682.5,G,407.97,594.23,Yes,UK,BVDK,05/12/2015,Germany,Nordbayerische Meisterschaft
Hugo Duarte,M,Raw,25.5,24-34,Open,99,105,262.5,145,285,692.5,4,423.17,625.93,Yes,UK,BVDK,16/09/2016,Germany,DM Classic/RAW Kraftdreikampf
Hugo Duarte,M,Raw,25,24-34,Open,98.8,105,262.5,145,280,687.5,2,420.46,621.58,Yes,UK,BVDK,11/06/2016,Germany,Bayrische Meisterschaft im Kraftdreikampf
Sion Hughes,M,Raw,23.5,24-34,M-C-Open,92.3,93,290,,,,DQ,,,Yes,UK,WelshPA,14/04/2018,Wales,Welsh Championships
Joseph Walton,M,Raw,26.5,24-34,M-C-Open,119.5,120,300,185,300.5,785.5,1,452.04,646.33,Yes,UK,WelshPA,14/04/2018,Wales,Welsh Championships
Sabrina Moore,F,Raw,29,24-34,F-C-Open,62.1,63,125,90,185,400,1,434.31,699.85,Yes,UK,WelshPA,19/12/2018,Wales,Welsh Winter Cup
Hannah Yardy,F,Raw,,,F-C-Open,62.5,63,135,80,170,385,2,415.98,670.81,Yes,England,WelshPA,19/12/2018,Wales,Welsh Winter Cup
Matthew Pearce,M,Raw,30,24-34,M-C-Open,161.4,120+,275,190,300,765,1,418.84,535.13,Yes,UK,WelshPA,19/12/2018,Wales,Welsh Winter Cup
Christina Appleby-Phillips,F,Raw,34.5,24-34,F-C-Open,79.2,84,145,105,175,425,1,391.08,665.19,Yes,UK,WelshPA,18/02/2017,Wales,Welsh Championships
Hannah Yardy,F,Raw,,,F-C-Open,62.4,63,110,75,172.5,357.5,1,386.74,622.12,Yes,England,WelshPA,18/02/2017,Wales,Welsh Championships
Hira Teirney,F,Raw,34.5,24-34,F-C-Open,84.6,84+,152.5,72.5,197.5,422.5,1,375.44,643.33,Yes,UK,WelshPA,18/02/2017,Wales,Welsh Championships
Josh Edwards #1,M,Raw,23.5,24-34,M-C-Open,107.5,120,277.5,157.5,337.5,772.5,1,457.94,673.94,Yes,UK,WelshPA,28/07/2018,Wales,South Wales Cup
Steven Tyers,M,Raw,,,M-C-U20,53.3,56,95,65,167.5,327.5,1,313.25,422.61,Yes,UK,BAWLA,29/07/2006,UK,British Unequipped Championships
